"Version","Code","Code_description","All_TBI_Codes","TBI_DOD","Mild_TBI","Moderate_TBI","Severe_TBI","Penetrating_TBI","Unclassified_TBI_Codes","TBI_CDC","TBI_2019_VA_ICD10","History_of_TBI","Explicit_Concussion_Mentioned","Other_Head_Injury_Trauma_DOD","All_Head_Skull_Face_Injury"
"ICD9","310.2","Postconcussion syndrome",1,0,1,0,0,0,0,0,0,0,1,0,1
"ICD9","339.2","Post-traumatic headache",1,0,0,0,0,0,1,0,0,0,0,0,1
"ICD9","339.2","Post-traumatic headache, unspecified",1,0,0,0,0,0,1,0,0,0,0,0,1
"ICD9","339.21","Acute post-traumatic headache",1,0,0,0,0,0,1,0,0,0,0,0,1
"ICD9","339.22","Chronic post-traumatic headache",1,0,0,0,0,0,1,0,0,0,0,0,1
"ICD9","780.33","Post traumatic seizures",1,0,0,0,0,0,1,0,0,0,0,0,1
"ICD9","800","Closed fracture of vault of skull without mention of intracranial injury, unspecified state of consciousness",1,1,1,0,0,0,0,1,1,0,0,0,1
"ICD9","800.01","Closed fracture of vault of skull without mention of intracranial injury, with no loss of consciousness",1,1,1,0,0,0,0,1,1,0,0,0,1
"ICD9","800.02","Closed fracture of vault of skull without mention of intracranial injury, with brief [less than one hour] loss of consciousness",1,1,1,0,0,0,0,1,1,0,0,0,1
"ICD9","800.03","Closed fracture of vault of skull without mention of intracranial injury, with moderate [1-24 hours] loss of consciousness",1,1,0,1,0,0,0,1,1,0,0,0,1
"ICD9","800.04","Closed fracture of vault of skull without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",1,1,0,0,1,0,0,1,1,0,0,0,1
"ICD9","800.05","Closed fracture of vault of skull without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",1,1,0,0,1,0,0,1,1,0,0,0,1
"ICD9","800.06","Closed fracture of vault of skull without mention of intracranial injury, with loss of consciousness of unspecified duration",1,1,1,0,0,0,0,1,1,0,0,0,1
"ICD9","800.09","Closed fracture of vault of skull without mention of intracranial injury, with concussion, unspecified",1,1,1,0,0,0,0,1,1,0,1,0,1
"ICD9","800.1","Closed fracture of vault of skull with cerebral laceration and contusion, unspecified state of consciousness",1,1,0,1,0,0,0,1,1,0,0,0,1
"ICD9","800.11","Closed fracture of vault of skull with cerebral laceration and contusion, with no loss of consciousness",1,1,0,1,0,0,0,1,1,0,0,0,1
"ICD9","800.12","Closed fracture of vault of skull with cerebral laceration and contusion, with brief [less than one hour] loss of consciousness",1,1,0,1,0,0,0,1,1,0,0,0,1
"ICD9","800.13","Closed fracture of vault of skull with cerebral laceration and contusion, with moderate [1-24 hours] loss of consciousness",1,1,0,1,0,0,0,1,1,0,0,0,1
"ICD9","800.14","Closed fracture of vault of skull with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",1,1,0,1,0,0,0,1,1,0,0,0,1
"ICD9","800.15","Closed fracture of vault of skull with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",1,1,0,1,0,0,0,1,1,0,0,0,1
"ICD9","800.16","Closed fracture of vault of skull with cerebral laceration and contusion, with loss of consciousness of unspecified duration",1,1,0,1,0,0,0,1,1,0,0,0,1
"ICD9","800.19","Closed fracture of vault of skull with cerebral laceration and contusion, with concussion, unspecified",1,1,0,1,0,0,0,1,1,0,1,0,1
"ICD9","800.2","Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, unspecified state of consciousness",1,1,0,1,0,0,0,1,1,0,0,0,1
"ICD9","800.21","Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with no loss of consciousness",1,1,0,1,0,0,0,1,1,0,0,0,1
"ICD9","800.22","Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with brief [less than one hour] loss of consciousness",1,1,0,1,0,0,0,1,1,0,0,0,1
"ICD9","800.23","Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with moderate [1-24 hours] loss of consciousness",1,1,0,1,0,0,0,1,1,0,0,0,1
"ICD9","800.24","Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",1,1,0,0,1,0,0,1,1,0,0,0,1
"ICD9","800.25","Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",1,1,0,0,1,0,0,1,1,0,0,0,1
"ICD9","800.26","Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with loss of consciousness of unspecified duration",1,1,0,1,0,0,0,1,1,0,0,0,1
"ICD9","800.29","Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with concussion, unspecified",1,1,0,1,0,0,0,1,1,0,1,0,1
"ICD9","800.3","Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, unspecified state of consciousness",1,1,0,1,0,0,0,1,1,0,0,0,1
"ICD9","800.31","Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with no loss of consciousness",1,1,0,1,0,0,0,1,1,0,0,0,1
"ICD9","800.32","Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with brief [less than one hour] loss of consciousness",1,1,0,1,0,0,0,1,1,0,0,0,1
"ICD9","800.33","Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with moderate [1-24 hours] loss of consciousness",1,1,0,1,0,0,0,1,1,0,0,0,1
"ICD9","800.34","Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",1,1,0,0,1,0,0,1,1,0,0,0,1
"ICD9","800.35","Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",1,1,0,0,1,0,0,1,1,0,0,0,1
"ICD9","800.36","Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with loss of consciousness of unspecified duration",1,1,0,1,0,0,0,1,1,0,0,0,1
"ICD9","800.39","Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with concussion, unspecified",1,1,0,1,0,0,0,1,1,0,1,0,1
"ICD9","800.4","Closed fracture of vault of skull with intracranial injury of other and unspecified nature, unspecified state of consciousness",1,1,0,1,0,0,0,1,1,0,0,0,1
"ICD9","800.41","Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with no loss of consciousness",1,1,0,1,0,0,0,1,1,0,0,0,1
"ICD9","800.42","Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with brief [less than one hour] loss of consciousness",1,1,0,1,0,0,0,1,1,0,0,0,1
"ICD9","800.43","Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with moderate [1-24 hours] loss of consciousness",1,1,0,1,0,0,0,1,1,0,0,0,1
"ICD9","800.44","Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",1,1,0,0,1,0,0,1,1,0,0,0,1
"ICD9","800.45","Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",1,1,0,0,1,0,0,1,1,0,0,0,1
"ICD9","800.46","Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with loss of consciousness of unspecified duration",1,1,0,1,0,0,0,1,1,0,0,0,1
